,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
6426,2024-08-02T15:39:14+02:00,HBLMTEAM7-------------GPA-001000--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,38,POINTS,W,2
6415,2024-08-02T17:32:58+02:00,HBLMTEAM7-------------GPA-001100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,33,POINTS,W,1
6416,2024-08-02T17:32:58+02:00,HBLMTEAM7-------------GPA-001100--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,31,POINTS,L,2
10792,2024-08-02T20:47:12+02:00,HBLMTEAM7-------------GPA-001200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,28,POINTS,L,1
10793,2024-08-02T20:47:12+02:00,HBLMTEAM7-------------GPA-001200--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,29,POINTS,W,2
13061,2024-08-02T22:37:45+02:00,HBLMTEAM7-------------GPB-001200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,25,POINTS,L,1
13062,2024-08-02T22:37:45+02:00,HBLMTEAM7-------------GPB-001200--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,26,POINTS,W,2
10800,2024-08-04T10:29:02+02:00,HBLMTEAM7-------------GPA-001300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,40,POINTS,W,1
10801,2024-08-04T10:29:02+02:00,HBLMTEAM7-------------GPA-001300--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,27,POINTS,L,2
13073,2024-08-04T12:32:42+02:00,HBLMTEAM7-------------GPB-001300--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,34,POINTS,W,1
13074,2024-08-04T12:32:42+02:00,HBLMTEAM7-------------GPB-001300--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,27,POINTS,L,2
9004,2024-08-04T15:26:08+02:00,HBLMTEAM7-------------GPA-001400--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,36,POINTS,W,1
9005,2024-08-04T15:26:08+02:00,HBLMTEAM7-------------GPA-001400--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,29,POINTS,L,2
8244,2024-08-04T17:34:53+02:00,HBLMTEAM7-------------GPB-001400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,20,POINTS,L,1
8245,2024-08-04T17:34:53+02:00,HBLMTEAM7-------------GPB-001400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,24,POINTS,W,2
8242,2024-08-04T20:34:26+02:00,HBLMTEAM7-------------GPB-001500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,32,POINTS,W,1
8243,2024-08-04T20:34:26+02:00,HBLMTEAM7-------------GPB-001500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,25,POINTS,L,2
8982,2024-08-04T22:37:21+02:00,HBLMTEAM7-------------GPA-001500--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,32,POINTS,W,1
8983,2024-08-04T22:37:21+02:00,HBLMTEAM7-------------GPA-001500--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,31,POINTS,L,2
4100,2024-07-25T10:31:11+02:00,HBLWTEAM7-------------GPA-000100--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,19,POINTS,L,1
4101,2024-07-25T10:31:11+02:00,HBLWTEAM7-------------GPA-000100--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---DEN01,Denmark,Team,DEN,Denmark,27,POINTS,W,2
13265,2024-07-25T17:32:58+02:00,HBLWTEAM7-------------GPA-000200--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---GER01,Germany,Team,GER,Germany,22,POINTS,L,1
13266,2024-07-25T17:32:58+02:00,HBLWTEAM7-------------GPA-000200--,HBLWTEAM7,Women,Women's Preliminary Round Group A,Preliminary Round Group A,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---KOR01,Republic of Korea,Team,KOR,Korea,23,POINTS,W,2
11046,2024-07-25T20:30:12+02:00,HBLWTEAM7-------------GPB-000300--,HBLWTEAM7,Women,Women's Preliminary Round Group B,Preliminary Round Group B,FINISHED,W,Handball,HBL,South Paris Arena 6,HBLWTEAM7---HUN01,Hungary,Team,HUN,Hungary,28,POINTS,L,1
