,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
3035,2024-07-29T14:11:50+02:00,VVOWTEAM6-------------GPB-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---KEN01,Kenya,Team,KEN,Kenya,0,POINTS,L,2
397,2024-07-31T00:12:15+02:00,VVOWTEAM6-------------GPA-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---FRA01,France,Team,FRA,France,0,POINTS,L,1
398,2024-07-31T00:12:15+02:00,VVOWTEAM6-------------GPA-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---SRB01,Serbia,Team,SRB,Serbia,3,POINTS,W,2
5530,2024-07-31T16:09:41+02:00,VVOWTEAM6-------------GPC-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
5531,2024-07-31T16:09:41+02:00,VVOWTEAM6-------------GPC-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---DOM01,Dominican Republic,Team,DOM,Dominican Republic,1,POINTS,L,2
7494,2024-07-31T16:19:42+02:00,VVOWTEAM6-------------GPB-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---POL01,Poland,Team,POL,Poland,3,POINTS,W,1
7495,2024-07-31T16:19:42+02:00,VVOWTEAM6-------------GPB-000100--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---JPN01,Japan,Team,JPN,Japan,1,POINTS,L,2
11349,2024-07-31T16:21:33+02:00,VVOWTEAM6-------------GPC-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---TUR01,Türkiye,Team,TUR,Türkiye,3,POINTS,W,1
11350,2024-07-31T16:21:33+02:00,VVOWTEAM6-------------GPC-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---NED01,Netherlands,Team,NED,Netherlands,2,POINTS,L,2
3024,2024-07-31T22:19:28+02:00,VVOWTEAM6-------------GPB-000300--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---POL01,Poland,Team,POL,Poland,3,POINTS,W,1
