,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
12254,2024-07-30T14:44:27+02:00,BDMMDOUBLES-----------GPC-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,Team,IND,India,2,POINTS,W,
12255,2024-07-30T14:44:27+02:00,BDMMDOUBLES-----------GPC-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,0,POINTS,L,
427,2024-07-30T16:49:48+02:00,BDMMDOUBLES-----------GPB-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
428,2024-07-30T16:49:48+02:00,BDMMDOUBLES-----------GPB-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,0,POINTS,L,
1284,2024-07-30T17:02:44+02:00,BDMMDOUBLES-----------GPD-000800--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
1285,2024-07-30T17:02:44+02:00,BDMMDOUBLES-----------GPD-000800--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,2,POINTS,W,
10051,2024-07-30T21:53:33+02:00,BDMMDOUBLES-----------GPB-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,Team,FRA,France,2,POINTS,W,
10052,2024-07-30T21:53:33+02:00,BDMMDOUBLES-----------GPB-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
13059,2024-07-31T14:52:19+02:00,BDMMDOUBLES-----------GPD-001000--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
13060,2024-07-31T14:52:19+02:00,BDMMDOUBLES-----------GPD-001000--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
1272,2024-07-31T15:10:39+02:00,BDMMDOUBLES-----------GPD-000900--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,1,POINTS,L,
1273,2024-07-31T15:10:39+02:00,BDMMDOUBLES-----------GPD-000900--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2843,2024-08-01T13:56:09+02:00,BDMMDOUBLES-----------QFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2844,2024-08-01T13:56:09+02:00,BDMMDOUBLES-----------QFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,0,POINTS,L,
7500,2024-08-01T14:01:42+02:00,BDMMDOUBLES-----------QFNL000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
7501,2024-08-01T14:01:42+02:00,BDMMDOUBLES-----------QFNL000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,0,POINTS,L,
7521,2024-08-01T14:07:30+02:00,BDMMDOUBLES-----------QFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,Team,IND,India,1,POINTS,L,
7522,2024-08-01T14:07:30+02:00,BDMMDOUBLES-----------QFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
12386,2024-08-01T14:58:59+02:00,BDMMDOUBLES-----------QFNL000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,0,POINTS,L,
12387,2024-08-01T14:58:59+02:00,BDMMDOUBLES-----------QFNL000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
12830,2024-08-02T12:22:24+02:00,BDMMDOUBLES-----------SFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
12831,2024-08-02T12:22:24+02:00,BDMMDOUBLES-----------SFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,1,POINTS,L,
