,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order
11244,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1912058,PEREZ Victor,Person,FRA,France,29.0,70,STROKES,,1
11245,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1897778,BEZUIDENHOUT Christiaan,Person,RSA,South Africa,29.0,70,STROKES,,12
11246,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1903186,DUMONT de CHASSART Adrien,Person,BEL,Belgium,29.0,70,STROKES,,22
11247,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1945630,KHONGWATMAI Phachara,Person,THA,Thailand,29.0,70,STROKES,,28
11248,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1536341,ANCER Abraham,Person,MEX,Mexico,29.0,70,STROKES,,29
11249,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1913217,YUAN Yechun,Person,CHN,China,29.0,70,STROKES,,31
11250,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1961431,NAKAJIMA Keita,Person,JPN,Japan,29.0,70,STROKES,,38
11251,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1889028,HOJGAARD Nicolai,Person,DEN,Denmark,29.0,70,STROKES,,41
11252,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1966414,TAYLOR Nick,Person,CAN,Canada,29.0,70,STROKES,,45
11253,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1878428,HOVLAND Viktor,Person,NOR,Norway,29.0,70,STROKES,,47
11254,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1951721,MORIKAWA Collin,Person,USA,United States,29.0,70,STROKES,,50
11255,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1536368,SHARMA Shubhankar,Person,IND,India,29.0,70,STROKES,,52
11256,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1546614,ZANOTTI Fabrizio,Person,PAR,Paraguay,29.0,70,STROKES,,58
11257,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1889030,OLESEN Thorbjorn,Person,DEN,Denmark,42.0,71,STROKES,,4
11258,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1892516,JAEGER Stephan,Person,GER,Germany,42.0,71,STROKES,,40
11259,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1903185,DETRY Thomas,Person,BEL,Belgium,42.0,71,STROKES,,42
11260,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1899121,LOWRY Shane,Person,IRL,Ireland,42.0,71,STROKES,,44
11261,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1912059,PAVON Matthieu,Person,FRA,France,42.0,71,STROKES,,49
11262,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1889174,VENTURA Kristoffer,Person,NOR,Norway,42.0,71,STROKES,,57
11263,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1572177,AN Byeong Hun,Person,KOR,Korea,48.0,72,STROKES,,43
11264,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1937888,MERONK Adrian,Person,POL,Poland,49.0,73,STROKES,,34
11265,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1909144,YU Kevin,Person,TPE,Chinese Taipei,49.0,73,STROKES,,39
11266,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1898169,FITZPATRICK Matt,Person,GBR,Great Britain,49.0,73,STROKES,,51
11267,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,1550000,CAMPOS Rafa,Person,PUR,Puerto Rico,49.0,73,STROKES,,53
11268,2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,FINISHED,M,Golf,GLF,Le Golf National,2500123,APHIBARNRAT Kiradech,Person,THA,Thailand,53.0,74,STROKES,,25
