,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
5779,2024-07-27T15:00:29+02:00,RU7MTEAM7-------------SF5-000100--,RU7MTEAM7,Men,Men's Placing 5-8,Placing 5-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,17,POINTS,W,1
5780,2024-07-27T15:00:29+02:00,RU7MTEAM7-------------SF5-000100--,RU7MTEAM7,Men,Men's Placing 5-8,Placing 5-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,12,POINTS,L,2
11654,2024-07-27T15:26:29+02:00,RU7MTEAM7-------------SF5-000200--,RU7MTEAM7,Men,Men's Placing 5-8,Placing 5-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---IRL01,Ireland,Team,IRL,Ireland,17,POINTS,W,1
11655,2024-07-27T15:26:29+02:00,RU7MTEAM7-------------SF5-000200--,RU7MTEAM7,Men,Men's Placing 5-8,Placing 5-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---USA01,United States of America,Team,USA,United States,14,POINTS,L,2
8230,2024-07-27T15:51:48+02:00,RU7MTEAM7-------------SFNL000100--,RU7MTEAM7,Men,Men's Semi-final,Semi-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,5,POINTS,L,1
8231,2024-07-27T15:51:48+02:00,RU7MTEAM7-------------SFNL000100--,RU7MTEAM7,Men,Men's Semi-final,Semi-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,19,POINTS,W,2
2108,2024-07-27T16:22:02+02:00,RU7MTEAM7-------------SFNL000200--,RU7MTEAM7,Men,Men's Semi-final,Semi-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,31,POINTS,W,1
2109,2024-07-27T16:22:02+02:00,RU7MTEAM7-------------SFNL000200--,RU7MTEAM7,Men,Men's Semi-final,Semi-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,7,POINTS,L,2
4063,2024-07-27T17:20:40+02:00,RU7MTEAM7-------------FNL-000500--,RU7MTEAM7,Men,Men's Placing 9-10,Placing 9-10,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---SAM01,Samoa,Team,SAM,Samoa,5,POINTS,L,1
4064,2024-07-27T17:20:40+02:00,RU7MTEAM7-------------FNL-000500--,RU7MTEAM7,Men,Men's Placing 9-10,Placing 9-10,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---KEN01,Kenya,Team,KEN,Kenya,10,POINTS,W,2
13239,2024-07-27T17:28:47+02:00,RU7MTEAM7-------------FNL-000600--,RU7MTEAM7,Men,Men's Placing 11-12,Placing 11-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---JPN01,Japan,Team,JPN,Japan,10,POINTS,L,1
13240,2024-07-27T17:28:47+02:00,RU7MTEAM7-------------FNL-000600--,RU7MTEAM7,Men,Men's Placing 11-12,Placing 11-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---URU01,Uruguay,Team,URU,Uruguay,21,POINTS,W,2
4072,2024-07-27T18:36:55+02:00,RU7MTEAM7-------------FNL-000400--,RU7MTEAM7,Men,Men's Placing 7-8,Placing 7-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,19,POINTS,W,1
4073,2024-07-27T18:36:55+02:00,RU7MTEAM7-------------FNL-000400--,RU7MTEAM7,Men,Men's Placing 7-8,Placing 7-8,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---USA01,United States of America,Team,USA,United States,0,POINTS,L,2
2336,2024-07-27T18:52:10+02:00,RU7MTEAM7-------------FNL-000300--,RU7MTEAM7,Men,Men's Placing 5-6,Placing 5-6,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,17,POINTS,W,1
2337,2024-07-27T18:52:10+02:00,RU7MTEAM7-------------FNL-000300--,RU7MTEAM7,Men,Men's Placing 5-6,Placing 5-6,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---IRL01,Ireland,Team,IRL,Ireland,7,POINTS,L,2
2332,2024-07-27T19:22:45+02:00,RU7MTEAM7-------------FNL-000200--,RU7MTEAM7,Men,Men's Bronze Medal Match,Bronze Medal Match,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,26,POINTS,W,1
2333,2024-07-27T19:22:45+02:00,RU7MTEAM7-------------FNL-000200--,RU7MTEAM7,Men,Men's Bronze Medal Match,Bronze Medal Match,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,19,POINTS,L,2
8378,2024-07-27T20:08:40+02:00,RU7MTEAM7-------------FNL-000100--,RU7MTEAM7,Men,Men's Gold Medal Match,Gold Medal Match,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,28,POINTS,W,1
8379,2024-07-27T20:08:40+02:00,RU7MTEAM7-------------FNL-000100--,RU7MTEAM7,Men,Men's Gold Medal Match,Gold Medal Match,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,7,POINTS,L,2
6094,2024-07-28T15:58:17+02:00,RU7WTEAM7-------------GPB-000100--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---IRL01,Ireland,Team,IRL,Ireland,12,POINTS,L,1
6095,2024-07-28T15:58:17+02:00,RU7WTEAM7-------------GPB-000100--,RU7WTEAM7,Women,Women's Pool B,Pool B,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---GBR01,Great Britain,Team,GBR,Great Britain,21,POINTS,W,2
8374,2024-07-28T16:53:51+02:00,RU7WTEAM7-------------GPC-000100--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---USA01,United States of America,Team,USA,United States,36,POINTS,W,1
8375,2024-07-28T16:53:51+02:00,RU7WTEAM7-------------GPC-000100--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---JPN01,Japan,Team,JPN,Japan,7,POINTS,L,2
2334,2024-07-28T17:20:32+02:00,RU7WTEAM7-------------GPC-000200--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---FRA01,France,Team,FRA,France,26,POINTS,W,1
2335,2024-07-28T17:20:32+02:00,RU7WTEAM7-------------GPC-000200--,RU7WTEAM7,Women,Women's Pool C,Pool C,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---BRA01,Brazil,Team,BRA,Brazil,0,POINTS,L,2
3433,2024-07-28T17:53:33+02:00,RU7WTEAM7-------------GPA-000100--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,14,POINTS,L,1
3434,2024-07-28T17:53:33+02:00,RU7WTEAM7-------------GPA-000100--,RU7WTEAM7,Women,Women's Pool A,Pool A,FINISHED,W,Rugby Sevens,RU7,Stade de France,RU7WTEAM7---CAN01,Canada,Team,CAN,Canada,17,POINTS,W,2
