,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
4783,2024-07-31T22:58:01+02:00,BKBMTEAM5-------------GPC-000400--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SSD01,South Sudan,Team,SSD,South Sudan,86,POINTS,L,2
9705,2024-08-02T12:49:05+02:00,BKBMTEAM5-------------GPB-000500--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---JPN01,Japan,Team,JPN,Japan,84,POINTS,L,1
9706,2024-08-02T12:49:05+02:00,BKBMTEAM5-------------GPB-000500--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---BRA01,Brazil,Team,BRA,Brazil,102,POINTS,W,2
7266,2024-08-02T15:26:24+02:00,BKBMTEAM5-------------GPA-000500--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---AUS01,Australia,Team,AUS,Australia,71,POINTS,L,1
7267,2024-08-02T15:26:24+02:00,BKBMTEAM5-------------GPA-000500--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GRE01,Greece,Team,GRE,Greece,77,POINTS,W,2
2724,2024-08-02T19:13:18+02:00,BKBMTEAM5-------------GPA-000600--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---CAN01,Canada,Team,CAN,Canada,88,POINTS,W,1
2725,2024-08-02T19:13:18+02:00,BKBMTEAM5-------------GPA-000600--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---ESP01,Spain,Team,ESP,Spain,85,POINTS,L,2
180,2024-08-02T22:45:53+02:00,BKBMTEAM5-------------GPB-000600--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---FRA01,France,Team,FRA,France,71,POINTS,L,1
181,2024-08-02T22:45:53+02:00,BKBMTEAM5-------------GPB-000600--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GER01,Germany,Team,GER,Germany,85,POINTS,W,2
4776,2024-08-03T18:59:11+02:00,BKBMTEAM5-------------GPC-000500--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,83,POINTS,L,1
