,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
4105,2024-07-28T11:09:42+02:00,SRFWSHORTBRD----------REP-000700--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 7,Round 2 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1934254,DEMPFLE-OLIN Sanoa,Person,CAN,Canada,2.0,6.30,POINTS,L,,12
7433,2024-07-28T11:45:45+02:00,SRFWSHORTBRD----------REP-000800--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 8,Round 2 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1910841,LELIOR Anat,Person,ISR,Israel,1.0,11.00,POINTS,W,,5
7434,2024-07-28T11:45:45+02:00,SRFWSHORTBRD----------REP-000800--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 8,Round 2 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1957832,GONZALEZ ETXABARRI Janire,Person,ESP,Spain,2.0,2.80,POINTS,L,,13
12493,2024-08-01T11:43:19+02:00,SRFWSHORTBRD----------8FNL000100--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 1,Round 3 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943206,MARKS Caroline,Person,USA,United States,1.0,6.93,POINTS,W,,9
12494,2024-08-01T11:43:19+02:00,SRFWSHORTBRD----------8FNL000100--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 1,Round 3 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1901532,YANG Siqi,Person,CHN,China,2.0,1.63,POINTS,L,,14
4764,2024-08-01T11:43:35+02:00,SRFWSHORTBRD----------8FNL000200--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 2,Round 3 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1946137,WRIGHT Tyler,Person,AUS,Australia,1.0,11.10,POINTS,W,,20
4765,2024-08-01T11:43:35+02:00,SRFWSHORTBRD----------8FNL000200--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 2,Round 3 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1910841,LELIOR Anat,Person,ISR,Israel,2.0,7.74,POINTS,L,,5
4752,2024-08-01T11:43:36+02:00,SRFWSHORTBRD----------8FNL000300--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 3,Round 3 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567359,DEFAY Johanne,Person,FRA,France,1.0,9.00,POINTS,W,,2
4753,2024-08-01T11:43:36+02:00,SRFWSHORTBRD----------8FNL000300--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 3,Round 3 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567360,FIERRO Vahine,Person,FRA,France,2.0,7.54,POINTS,L,,21
2771,2024-08-01T11:43:38+02:00,SRFWSHORTBRD----------8FNL000400--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 4,Round 3 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943210,MOORE Carissa,Person,USA,United States,1.0,8.16,POINTS,W,,7
2772,2024-08-01T11:43:38+02:00,SRFWSHORTBRD----------8FNL000400--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 4,Round 3 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1963658,BAUM Sarah,Person,RSA,South Africa,2.0,3.87,POINTS,L,,17
2775,2024-08-01T11:43:39+02:00,SRFWSHORTBRD----------8FNL000500--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 5,Round 3 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1957831,EROSTARBE Nadia,Person,ESP,Spain,1.0,8.34,POINTS,W,,3
2776,2024-08-01T11:43:39+02:00,SRFWSHORTBRD----------8FNL000500--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 5,Round 3 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1913496,MATSUDA Shino,Person,JPN,Japan,2.0,5.84,POINTS,L,,18
7425,2024-08-01T11:43:39+02:00,SRFWSHORTBRD----------8FNL000600--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 6,Round 3 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955783,WESTON-WEBB Tatiana,Person,BRA,Brazil,1.0,12.34,POINTS,W,,1
7426,2024-08-01T11:43:39+02:00,SRFWSHORTBRD----------8FNL000600--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 6,Round 3 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943208,SIMMERS Caitlin,Person,USA,United States,2.0,1.93,POINTS,L,,24
7399,2024-08-01T11:43:42+02:00,SRFWSHORTBRD----------8FNL000700--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 7,Round 3 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955781,SILVA Luana,Person,BRA,Brazil,1.0,6.77,POINTS,W,,19
7400,2024-08-01T11:43:42+02:00,SRFWSHORTBRD----------8FNL000700--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 7,Round 3 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955782,HINCKEL Taina,Person,BRA,Brazil,2.0,5.93,POINTS,L,,6
4076,2024-08-01T11:45:27+02:00,SRFWSHORTBRD----------8FNL000800--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 8,Round 3 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1557964,HENNESSY Brisa,Person,CRC,Costa Rica,1.0,12.34,POINTS,W,,15
4077,2024-08-01T11:45:27+02:00,SRFWSHORTBRD----------8FNL000800--,SRFWSHORTBRD,Women,Women's Round 3 - Heat 8,Round 3 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1916729,HOPKINS Yolanda,Person,POR,Portugal,2.0,9.90,POINTS,L,,8
8234,2024-08-01T14:45:41+02:00,SRFWSHORTBRD----------QFNL000100--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 1,Quarterfinals - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943206,MARKS Caroline,Person,USA,United States,1.0,7.77,POINTS,W,,9
8235,2024-08-01T14:45:41+02:00,SRFWSHORTBRD----------QFNL000100--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 1,Quarterfinals - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1946137,WRIGHT Tyler,Person,AUS,Australia,2.0,5.37,POINTS,L,,20
2110,2024-08-01T15:22:20+02:00,SRFWSHORTBRD----------QFNL000200--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 2,Quarterfinals - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567359,DEFAY Johanne,Person,FRA,France,1.0,10.34,POINTS,W,,2
2111,2024-08-01T15:22:20+02:00,SRFWSHORTBRD----------QFNL000200--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 2,Quarterfinals - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943210,MOORE Carissa,Person,USA,United States,2.0,6.50,POINTS,L,,7
2093,2024-08-01T15:57:01+02:00,SRFWSHORTBRD----------QFNL000300--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 3,Quarterfinals - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955783,WESTON-WEBB Tatiana,Person,BRA,Brazil,1.0,8.10,POINTS,W,,1
2094,2024-08-01T15:57:01+02:00,SRFWSHORTBRD----------QFNL000300--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 3,Quarterfinals - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1957831,EROSTARBE Nadia,Person,ESP,Spain,2.0,6.34,POINTS,L,,3
3827,2024-08-01T16:33:09+02:00,SRFWSHORTBRD----------QFNL000400--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 4,Quarterfinals - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1557964,HENNESSY Brisa,Person,CRC,Costa Rica,1.0,6.37,POINTS,W,,15
3828,2024-08-01T16:33:09+02:00,SRFWSHORTBRD----------QFNL000400--,SRFWSHORTBRD,Women,Women's Quarterfinals - Heat 4,Quarterfinals - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955781,SILVA Luana,Person,BRA,Brazil,2.0,5.47,POINTS,L,,19
