,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
3941,2024-07-29T09:57:19+02:00,SRFMSHORTBRD----------8FNL000500--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 5,Round 3 - Heat 5,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1913498,IGARASHI Kanoa,Person,JPN,Japan,2.0,7.04,POINTS,L,,20
13149,2024-07-29T10:36:05+02:00,SRFMSHORTBRD----------8FNL000600--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 6,Round 3 - Heat 6,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955780,CHIANCA Joao,Person,BRA,Brazil,1.0,18.10,POINTS,W,,23
13150,2024-07-29T10:36:05+02:00,SRFMSHORTBRD----------8FNL000600--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 6,Round 3 - Heat 6,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1551552,BOUKHIAM Ramzi,Person,MAR,Morocco,2.0,17.80,POINTS,L,,2
13173,2024-07-29T11:10:13+02:00,SRFMSHORTBRD----------8FNL000700--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 7,Round 3 - Heat 7,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,13.94,POINTS,W,,13
13174,2024-07-29T11:10:13+02:00,SRFMSHORTBRD----------8FNL000700--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 7,Round 3 - Heat 7,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1943202,FLORENCE John John,Person,USA,United States,2.0,9.07,POINTS,L,,11
3120,2024-07-29T11:46:25+02:00,SRFMSHORTBRD----------8FNL000800--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 8,Round 3 - Heat 8,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1946128,EWING Ethan,Person,AUS,Australia,1.0,14.17,POINTS,W,,8
3121,2024-07-29T11:46:25+02:00,SRFMSHORTBRD----------8FNL000800--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 8,Round 3 - Heat 8,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1913489,O'LEARY Connor,Person,JPN,Japan,2.0,11.00,POINTS,L,,16
12382,2024-08-01T12:21:43+02:00,SRFMSHORTBRD----------QFNL000100--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 1,Quarterfinals - Heat 1,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,1.0,10.50,POINTS,W,,5
12383,2024-08-01T12:21:43+02:00,SRFMSHORTBRD----------QFNL000100--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 1,Quarterfinals - Heat 1,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1913493,INABA Reo,Person,JPN,Japan,2.0,10.16,POINTS,L,,18
4638,2024-08-01T12:57:01+02:00,SRFMSHORTBRD----------QFNL000200--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 2,Quarterfinals - Heat 2,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,15.33,POINTS,W,,3
