,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order
9001,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1566002,OZBAY Elis,Person,TUR,Türkiye,4.0,8:02.47,TIME,,+6.56,FD,6
9002,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1935611,SANGUINETI Adriana,Person,PER,Peru,5.0,8:17.84,TIME,,+21.93,FD,2
9003,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1568362,PHAM Thi Hue,Person,VIE,Vietnam,6.0,8:22.85,TIME,,+26.94,FD,1
6409,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1965558,FLORIJN Karolien,Person,NED,Netherlands,1.0,7:21.26,TIME,,,FA,3
6410,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1945694,RIGNEY Tara,Person,AUS,Australia,2.0,7:23.58,TIME,,+2.32,FA,4
6411,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1565037,ANGELOVA Desislava,Person,BUL,Bulgaria,3.0,7:27.16,TIME,,+5.90,FA,6
6412,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1538627,PRAKATEN Anna,Person,UZB,Uzbekistan,4.0,7:29.28,TIME,,+8.02,FB,2
6413,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1977658,JANZEN Aurelia-Maxima Katharina,Person,SUI,Switzerland,5.0,7:31.65,TIME,,+10.39,FB,5
6414,2024-08-01T09:39:01+02:00,ROWWSCULL1------------SFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 1,Semifinal A/B 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1879804,DIAZ RIVAS Virginia,Person,ESP,Spain,6.0,7:37.52,TIME,,+16.26,FB,1
10786,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1927027,TWIGG Emma,Person,NZL,New Zealand,1.0,7:17.19,TIME,,,FA,3
10787,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1941956,SENKUTE Viktorija,Person,LTU,Lithuania,2.0,7:19.15,TIME,,+1.96,FA,4
10788,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1944710,KOHLER Kara,Person,USA,United States,3.0,7:22.33,TIME,,+5.14,FA,2
10789,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1906519,FOESTER Alexandra,Person,GER,Germany,4.0,7:24.63,TIME,,+7.44,FB,5
10790,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1964500,KLIMOVICH Tatsiana,Person,AIN,AIN,5.0,7:26.56,TIME,,+9.37,FB,1
10791,2024-08-01T09:48:50+02:00,ROWWSCULL1------------SFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal A/B 2,Semifinal A/B 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1558203,LOBNIG Magdalena,Person,AUT,Austria,6.0,7:40.02,TIME,,+22.83,FB,6
1359,2024-08-02T09:52:04+02:00,ROWWSCULL1------------FNL-000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final F,Final F,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1548852,EL ALLAOUI Majdouline,Person,MAR,Morocco,1.0,8:20.81,TIME,,,,2
1360,2024-08-02T09:52:04+02:00,ROWWSCULL1------------FNL-000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final F,Final F,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1966045,KOMLANVI Akoko,Person,TOG,Togo,2.0,8:46.73,TIME,,+25.92,,1
9360,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976752,BENCHADLI Nihed,Person,ALG,Algeria,1.0,7:54.25,TIME,,,,4
9361,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1570568,NOBLE Kathleen,Person,UGA,Uganda,2.0,7:56.10,TIME,,+1.85,,2
9362,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893521,COBAS GARCIA Yariulvis,Person,CUB,Cuba,3.0,7:57.99,TIME,,+3.74,,3
9363,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1926317,BINTE MOHAMED RAFAEE Saiyidah Aisy.,Person,SGP,Singapore,4.0,8:03.29,TIME,,+9.04,,5
9364,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928547,ALFAQAAN Soaad,Person,KUW,Kuwait,5.0,8:05.18,TIME,,+10.93,,6
9365,2024-08-02T10:16:57+02:00,ROWWSCULL1------------FNL-000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final E,Final E,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1949989,GONZALEZ JARQUIN Evidelia,Person,NCA,Nicaragua,6.0,8:08.61,TIME,,+14.36,,1
9352,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1540998,ALONSO ALDERETE Alejandra,Person,PAR,Paraguay,1.0,7:42.09,TIME,,,,4
9353,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976002,DELGACO Joanie,Person,PHI,Philippines,2.0,7:43.83,TIME,,+1.74,,2
9354,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1537375,MOJALLALTOPRAGHGHALE Fatemeh,Person,IRI,IR Iran,3.0,7:46.08,TIME,,+3.99,,1
9355,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1566002,OZBAY Elis,Person,TUR,Türkiye,4.0,7:46.95,TIME,,+4.86,,3
9356,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1568362,PHAM Thi Hue,Person,VIE,Vietnam,5.0,7:47.84,TIME,,+5.75,,6
9357,2024-08-02T10:39:42+02:00,ROWWSCULL1------------FNL-000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final D,Final D,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1935611,SANGUINETI Adriana,Person,PER,Peru,6.0,7:49.31,TIME,,+7.22,,5
11036,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1956490,ARSIC Jovana,Person,SRB,Serbia,1.0,7:26.09,TIME,,,,4
11037,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893544,BADENHORST Paige,Person,RSA,South Africa,2.0,7:27.76,TIME,,+1.67,,3
11038,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1954925,CUNHA TAVARES CARDOSO Beatriz,Person,BRA,Brazil,3.0,7:31.31,TIME,,+5.22,,6
11039,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1535252,LECHUGA ALANIS Kenia,Person,MEX,Mexico,4.0,7:31.99,TIME,,+5.90,,2
11040,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928878,DYMCHENKO Diana,Person,AZE,Azerbaijan,5.0,7:35.19,TIME,,+9.10,,1
11041,2024-08-03T09:39:46+02:00,ROWWSCULL1------------FNL-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final C,Final C,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1981475,KOSTANJSEK Nina,Person,SLO,Slovenia,6.0,7:39.00,TIME,,+12.91,,5
11052,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1906519,FOESTER Alexandra,Person,GER,Germany,1.0,7:23.53,TIME,,,,3
11053,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1964500,KLIMOVICH Tatsiana,Person,AIN,AIN,2.0,7:25.61,TIME,,+2.08,,5
11054,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1977658,JANZEN Aurelia-Maxima Katharina,Person,SUI,Switzerland,3.0,7:27.01,TIME,,+3.48,,2
11055,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1558203,LOBNIG Magdalena,Person,AUT,Austria,4.0,7:30.54,TIME,,+7.01,,1
11056,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1538627,PRAKATEN Anna,Person,UZB,Uzbekistan,5.0,7:33.57,TIME,,+10.04,,4
11057,2024-08-03T10:03:34+02:00,ROWWSCULL1------------FNL-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1879804,DIAZ RIVAS Virginia,Person,ESP,Spain,6.0,7:34.61,TIME,,+11.08,,6
6687,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1965558,FLORIJN Karolien,Person,NED,Netherlands,1.0,7:17.28,TIME,,,,3
6688,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1927027,TWIGG Emma,Person,NZL,New Zealand,2.0,7:19.14,TIME,,+1.86,,4
6689,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1941956,SENKUTE Viktorija,Person,LTU,Lithuania,3.0,7:20.85,TIME,,+3.57,,5
6690,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1945694,RIGNEY Tara,Person,AUS,Australia,4.0,7:21.38,TIME,,+4.10,,2
6691,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1944710,KOHLER Kara,Person,USA,United States,5.0,7:25.07,TIME,,+7.79,,6
6692,2024-08-03T10:29:30+02:00,ROWWSCULL1------------FNL-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1565037,ANGELOVA Desislava,Person,BUL,Bulgaria,6.0,7:33.19,TIME,,+15.91,,1
