,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
6815,2024-07-31T16:41:56+02:00,WPOWTEAM7-------------GPA-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,7,POINTS,L,2
13267,2024-07-31T19:40:53+02:00,WPOWTEAM7-------------GPB-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,3,POINTS,L,1
13268,2024-07-31T19:40:53+02:00,WPOWTEAM7-------------GPB-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,10,POINTS,W,2
3972,2024-07-31T21:09:25+02:00,WPOWTEAM7-------------GPB-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,10,POINTS,W,1
3973,2024-07-31T21:09:25+02:00,WPOWTEAM7-------------GPB-000600--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,8,POINTS,L,2
11007,2024-08-01T13:44:16+02:00,WPOWTEAM7-------------GPA-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,14,POINTS,L,1
11008,2024-08-01T13:44:16+02:00,WPOWTEAM7-------------GPA-000500--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,15,POINTS,W,2
6867,2024-08-02T15:12:17+02:00,WPOWTEAM7-------------GPA-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,10,POINTS,W,1
6868,2024-08-02T15:12:17+02:00,WPOWTEAM7-------------GPA-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,7,POINTS,L,2
3982,2024-08-02T16:42:11+02:00,WPOWTEAM7-------------GPB-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,8,POINTS,L,1
3983,2024-08-02T16:42:11+02:00,WPOWTEAM7-------------GPB-000700--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,12,POINTS,W,2
7360,2024-08-02T19:39:33+02:00,WPOWTEAM7-------------GPB-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---USA01,United States of America,Team,USA,United States,17,POINTS,W,1
7361,2024-08-02T19:39:33+02:00,WPOWTEAM7-------------GPB-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,5,POINTS,L,2
10089,2024-08-02T21:18:21+02:00,WPOWTEAM7-------------GPA-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CHN01,People's Republic of China,Team,CHN,China,11,POINTS,L,1
10090,2024-08-02T21:18:21+02:00,WPOWTEAM7-------------GPA-000800--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,17,POINTS,W,2
10125,2024-08-04T15:18:02+02:00,WPOWTEAM7-------------GPA-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---HUN01,Hungary,Team,HUN,Hungary,12,POINTS,L,1
10126,2024-08-04T15:18:02+02:00,WPOWTEAM7-------------GPA-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---AUS01,Australia,Team,AUS,Australia,14,POINTS,W,2
7374,2024-08-04T16:42:56+02:00,WPOWTEAM7-------------GPB-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ITA01,Italy,Team,ITA,Italy,11,POINTS,L,1
7375,2024-08-04T16:42:56+02:00,WPOWTEAM7-------------GPB-000900--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---ESP01,Spain,Team,ESP,Spain,13,POINTS,W,2
4700,2024-08-04T19:42:32+02:00,WPOWTEAM7-------------GPA-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---CAN01,Canada,Team,CAN,Canada,11,POINTS,L,1
4701,2024-08-04T19:42:32+02:00,WPOWTEAM7-------------GPA-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group A,Preliminary Round - Group A,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---NED01,Netherlands,Team,NED,Netherlands,20,POINTS,W,2
5800,2024-08-04T21:11:16+02:00,WPOWTEAM7-------------GPB-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---FRA01,France,Team,FRA,France,4,POINTS,L,1
5801,2024-08-04T21:11:16+02:00,WPOWTEAM7-------------GPB-001000--,WPOWTEAM7,Women,Women's Preliminary Round - Group B,Preliminary Round - Group B,FINISHED,W,Water Polo,WPO,Aquatics Centre,WPOWTEAM7---GRE01,Greece,Team,GRE,Greece,11,POINTS,W,2
