,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
514,2024-08-02T14:33:51+02:00,BK3MTEAM3-------------GPA-002000--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,22,POINTS,W,2
10091,2024-08-02T19:28:21+02:00,BK3MTEAM3-------------GPA-002200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,21,POINTS,W,1
10092,2024-08-02T19:28:21+02:00,BK3MTEAM3-------------GPA-002200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,14,POINTS,L,2
509,2024-08-02T20:01:44+02:00,BK3MTEAM3-------------GPA-002100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,19,POINTS,L,1
510,2024-08-02T20:01:44+02:00,BK3MTEAM3-------------GPA-002100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,21,POINTS,W,2
10121,2024-08-02T22:23:44+02:00,BK3MTEAM3-------------GPA-002300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,21,POINTS,W,1
10122,2024-08-02T22:23:44+02:00,BK3MTEAM3-------------GPA-002300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,12,POINTS,L,2
11597,2024-08-02T23:02:17+02:00,BK3MTEAM3-------------GPA-002400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,17,POINTS,L,1
11598,2024-08-02T23:02:17+02:00,BK3MTEAM3-------------GPA-002400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,21,POINTS,W,2
11591,2024-08-04T17:49:24+02:00,BK3MTEAM3-------------GPA-002500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,21,POINTS,W,1
11592,2024-08-04T17:49:24+02:00,BK3MTEAM3-------------GPA-002500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,12,POINTS,L,2
