,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
130,2024-07-28T11:41:40+02:00,TTEMSINGLES-----------R64-000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1536214,ALAMIAN Nima,Person,IRI,IR Iran,1,POINTS,L
4317,2024-07-28T12:42:04+02:00,TTEMSINGLES-----------R64-001800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1547690,IDOWU Saheed,Person,CGO,Congo,3,POINTS,L
4318,2024-07-28T12:42:04+02:00,TTEMSINGLES-----------R64-001800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563381,KALLBERG Anton,Person,SWE,Sweden,4,POINTS,W
12966,2024-07-28T12:43:01+02:00,TTEMSINGLES-----------R64-001100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1538151,ACHANTA Sharath Kamal,Person,IND,India,2,POINTS,L
12967,2024-07-28T12:43:01+02:00,TTEMSINGLES-----------R64-001100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980867,KOZUL Deni,Person,SLO,Slovenia,4,POINTS,W
3568,2024-07-28T12:52:15+02:00,TTEMSINGLES-----------R64-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1961122,WANG Eugene,Person,CAN,Canada,0,POINTS,L
3569,2024-07-28T12:52:15+02:00,TTEMSINGLES-----------R64-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931109,TOGAMI Shunsuke,Person,JPN,Japan,4,POINTS,W
4670,2024-07-28T13:21:49+02:00,TTEMSINGLES-----------R64-002700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902709,EL-BEIALI Mohamed,Person,EGY,Egypt,0,POINTS,L
4671,2024-07-28T13:21:49+02:00,TTEMSINGLES-----------R64-002700--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1954543,REDZIMSKI Milosz,Person,POL,Poland,4,POINTS,W
1056,2024-07-28T14:20:40+02:00,TTEMSINGLES-----------R64-000900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936418,JANG Woojin,Person,KOR,Korea,4,POINTS,W
1057,2024-07-28T14:20:40+02:00,TTEMSINGLES-----------R64-000900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1550006,GONZALEZ Daniel,Person,PUR,Puerto Rico,1,POINTS,L
2849,2024-07-28T14:59:15+02:00,TTEMSINGLES-----------R64-002100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980863,JORGIC Darko,Person,SLO,Slovenia,4,POINTS,W
2850,2024-07-28T14:59:15+02:00,TTEMSINGLES-----------R64-002100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1537137,QUEK Izaac,Person,SGP,Singapore,2,POINTS,L
12411,2024-07-28T20:54:05+02:00,TTEMSINGLES-----------R64-002400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1550005,AFANADOR Brian,Person,PUR,Puerto Rico,1,POINTS,L
12412,2024-07-28T20:54:05+02:00,TTEMSINGLES-----------R64-002400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1800795,LIN Yun-Ju,Person,TPE,Chinese Taipei,4,POINTS,W
